user_id,age,english_level,daily_minutes,sessions_per_week,avg_session_duration,streak_days,time_since_last_login,quiz_attempts,quiz_avg_score,videos_watched_pct,practice_items_completed,writing_submissions,story_quiz_attempts,certification_earned,course_category,course_difficulty,instructor_rating,device_type,subscription_type,parent_involvement_score,dropped_out,best_course_category
3781,5,A1,10.2,2.9,25.0,2,5,6,47.5,17.0,12,3,0,0,Listening,3,4.56,mobile,free,2,0,Writing
6340,9,A2,19.2,4.8,28.0,8,9,12,62.6,81.0,19,3,6,0,Speaking,3,4.46,tablet,free,4,0,Reading
10472,10,B1,38.4,5.1,53.0,17,2,20,78.5,85.2,45,8,10,0,Reading,1,3.87,mobile,free,10,0,Writing
10109,9,B1,0.0,0.0,2.0,0,15,0,29.9,20.4,0,1,0,0,Speaking,5,3.98,desktop,family,6,1,Reading
632,7,unknown,25.5,5.0,35.9,6,7,13,57.9,61.8,16,6,7,0,Writing,5,3.89,mobile,free,6,0,Listening
1471,12,unknown,41.4,7.6,38.1,16,2,23,99.6,100.0,40,10,9,1,Speaking,2,3.9,tablet,premium,7,0,Grammar
38,11,unknown,21.3,1.7,70.9,0,5,11,63.3,51.2,4,0,5,1,Writing,2,4.94,tablet,premium,4,0,Speaking
5095,8,A1,10.4,2.2,33.4,3,6,8,66.3,30.2,11,0,2,0,Reading,4,4.81,tablet,free,4,0,Grammar
11801,6,A2,3.7,0.0,12.2,1,11,0,35.3,4.0,5,1,0,0,Writing,4,2.4,tablet,free,9,1,Grammar
11299,7,A1,5.8,0.0,19.2,0,10,0,37.1,24.9,6,0,0,0,READING,4,3.81,mobile,free,9,0,Grammar
6618,9,A2,5.0,0.1,16.8,3,12,8,48.8,53.0,11,0,4,0,Grammar,2,3.78,mobile,free,2,0,Grammar
5993,11,B1,0.6,0.0,2.0,0,7,1,41.9,34.6,0,0,0,0,Grammar,2,4.24,MOBILE,family,1,1,Listening
6310,6,A1,23.1,6.1,26.5,8,6,16,64.4,57.5,22,7,7,1,Speaking,3,4.01,mobile,free,8,0,Listening
